,MSE,RMSE,R^2,Adj R^2,EVs,AIC
Linear Regression,119.90820255183094,10.9502603873986,0.8186435027157115,0.8031461011166472,0.8186435027157115,5280.223871350287
GWR,128.10955056179776,11.31854896008308,0.8062392825168962,0.7896819068621854,0.8085322253471846,1529.338978759415
MESF-Queen,115.6696184282106,10.754981098459012,0.8250541965110113,0.8081529575305746,0.8250541965110113,5261.78819521975
MESF-KNN,116.30975482549916,10.784700034099195,0.8240860150828371,0.8070912416170475,0.8240860150828371,5267.682403812524
MESF-Gabriel,114.35389578009608,10.69363809842544,0.8270441758934186,0.8103351856919606,0.8270441758934186,5249.570252038971
RBF SVR,0.9144370448330058,0.9562620168306414,0.9986169495004628,0.9984987641068096,0.9986763673412584,72.47097288704572
Linear SVR,156.32996694976583,12.503198268833692,0.7635569992442923,0.7433523074197964,0.7660119431712279,5563.502834515921
GWSVR,158.50048836257292,12.589697707354729,0.7602741699437939,0.7397889515056237,0.7626266833519487,5578.229196328051
