,Moran's I,Mean MSE
Linear Regression,0.2147381027687506,178.44483689438908
GWR,0.101604926387098,120.86795664955464
MESF-Queen,0.2249239502899184,252.06466602420696
MESF-KNN,0.1760380888696521,236.25697245148223
MESF-Gabriel,0.1514277499143682,255.26613601808404
RBF SVR,0.1221257873527967,295.3152569274286
Linear SVR,0.4214760691936345,205.34159810743984
GWSVR,0.5059564190789646,
