,MSE,RMSE,R^2,Adj R^2,EVs,AIC
Linear Regression,160.0044663947927,12.64928718919737,0.7579994616076566,0.7533767197090446,0.7624575965283505,5460.315447438859
GWR,92.87359550561796,9.6370947647939,0.8595322954339496,0.8587379446069974,0.862931085849042,1481.8998459428271
MESF-Queen,151.53557078243057,12.309978504547868,0.7708083371594386,0.7486664910062909,0.7708083371594386,5550.2361744198
MESF-KNN,149.0739280290054,12.209583450265836,0.7745314761759998,0.7527493166287685,0.7745314761759998,5532.744423569981
MESF-Gabriel,147.12177524081275,12.129376539658285,0.7774840314165584,0.7559871135883534,0.7774840314165584,5518.666370826271
RBF SVR,37.509157197895085,6.124471993396254,0.9432688571696703,0.9384210280773534,0.9442063956654831,4039.05688157773
Linear SVR,201.03683161559167,14.178745770186856,0.695939603538171,0.6699568229656443,0.7004549983371775,5832.125326194535
GWSVR,221.5983231305773,14.88617892981867,0.664841146545735,0.6362009189870796,0.6710170409743069,5936.125302110821
